ID,DataRow ID,Labeled Data,Label,Created By,Project Name,Created At,Updated At,Seconds to Label,External ID,Agreement,Benchmark Agreement,Benchmark ID,Benchmark Reference ID,Dataset Name,Reviews,View Label
ckk8bhkg400003g68czmnol0g,ckk8b8zb1bhez0re7ac5tahqh,https://storage.labelbox.com/ckgj4l5y1rrjc0782wpnim743%2F71396e5d-5d9a-5d4e-2391-d4dc6d43c471-bg_img_0.jpg?Expires=1612531864657&KeyName=labelbox-assets-key-1&Signature=ht_JouQavaauLbPYB8O0fTC8_p4,"{""objects"":[{""featureId"":""ckk8bhhn713x10ya66u4h8ou9"",""schemaId"":""ckk8bg8ff06bx0ybafthc84mp"",""title"":""useful_space"",""value"":""useful_space"",""color"":""#1CE6FF"",""bbox"":{""top"":139,""left"":87,""height"":2234,""width"":1748},""instanceURI"":""https://api.labelbox.com/masks/feature/ckk8bhhn713x10ya66u4h8ou9?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOiJja2g0ajg0eGR3aGY4MDg5NG82N3p1bndxIiwib3JnYW5pemF0aW9uSWQiOiJja2dqNGw1eTFycmpjMDc4MndwbmltNzQzIiwiaWF0IjoxNjExMzIyMjY0LCJleHAiOjE2MTM5MTQyNjR9.UqSzq-DpcrkIyuaiDSK9K_8VGdoLgSdbcwtvFRiDVbY""}],""classifications"":[]}",1004608032@qq.com,background_labeled,1611321954000,1611322060383,17.101,bg_img_0.jpg,,-1,,,background_img,[],https://editor.labelbox.com?project=ckk8b70qg0tko0804nkbjono1&label=ckk8bhkg400003g68czmnol0g
ckk8bhqor00013g68jvx8o1vx,ckk8b8zb1bhfb0re70e7j6hzl,https://storage.labelbox.com/ckgj4l5y1rrjc0782wpnim743%2F539fe335-4dfe-9666-cf3a-4543959193d4-bg_img_3.jpg?Expires=1612531864667&KeyName=labelbox-assets-key-1&Signature=uTZJX0-WIfLql9izutmKXfw2ZFY,"{""objects"":[{""featureId"":""ckk8bhpn609z30ybu9qgj9t2x"",""schemaId"":""ckk8bg8ff06bx0ybafthc84mp"",""title"":""useful_space"",""value"":""useful_space"",""color"":""#1CE6FF"",""bbox"":{""top"":460,""left"":297,""height"":2049,""width"":1306},""instanceURI"":""https://api.labelbox.com/masks/feature/ckk8bhpn609z30ybu9qgj9t2x?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOiJja2g0ajg0eGR3aGY4MDg5NG82N3p1bndxIiwib3JnYW5pemF0aW9uSWQiOiJja2dqNGw1eTFycmpjMDc4MndwbmltNzQzIiwiaWF0IjoxNjExMzIyMjY0LCJleHAiOjE2MTM5MTQyNjR9.UqSzq-DpcrkIyuaiDSK9K_8VGdoLgSdbcwtvFRiDVbY""}],""classifications"":[]}",1004608032@qq.com,background_labeled,1611321962000,1611322061000,9.753,bg_img_3.jpg,-1,-1,,,background_img,[],https://editor.labelbox.com?project=ckk8b70qg0tko0804nkbjono1&label=ckk8bhqor00013g68jvx8o1vx
ckk8bi6k600023g68xsly8z0p,ckk8b8zb2bhfn0re7h8ot4laf,https://storage.labelbox.com/ckgj4l5y1rrjc0782wpnim743%2F9d4f106a-66d6-55b8-22a6-6529cc895a92-bg_img_6.jpg?Expires=1612531864669&KeyName=labelbox-assets-key-1&Signature=MbE7qfucOCqCiWqeXvElAUyoA1A,"{""objects"":[{""featureId"":""ckk8bi5l106ya0ybaensd0f3x"",""schemaId"":""ckk8bg8ff06bx0ybafthc84mp"",""title"":""useful_space"",""value"":""useful_space"",""color"":""#1CE6FF"",""bbox"":{""top"":287,""left"":277,""height"":2160,""width"":1335},""instanceURI"":""https://api.labelbox.com/masks/feature/ckk8bi5l106ya0ybaensd0f3x?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOiJja2g0ajg0eGR3aGY4MDg5NG82N3p1bndxIiwib3JnYW5pemF0aW9uSWQiOiJja2dqNGw1eTFycmpjMDc4MndwbmltNzQzIiwiaWF0IjoxNjExMzIyMjY0LCJleHAiOjE2MTM5MTQyNjR9.UqSzq-DpcrkIyuaiDSK9K_8VGdoLgSdbcwtvFRiDVbY""}],""classifications"":[]}",1004608032@qq.com,background_labeled,1611321982000,1611322061371,15.666,bg_img_6.jpg,,-1,,,background_img,[],https://editor.labelbox.com?project=ckk8b70qg0tko0804nkbjono1&label=ckk8bi6k600023g68xsly8z0p
ckk8bif5500033g68z2r9roft,ckk8b8zb2bhfz0re7b4iw6ltw,https://storage.labelbox.com/ckgj4l5y1rrjc0782wpnim743%2F120f4766-d30e-4915-c4d1-4912e4b27ad3-bg_img_10.jpg?Expires=1612531864669&KeyName=labelbox-assets-key-1&Signature=FcBi6mq4Bwjrvmg64WsDLkyDPKI,"{""objects"":[{""featureId"":""ckk8bie2h0a7f0ybu1eyn97cz"",""schemaId"":""ckk8bg8ff06bx0ybafthc84mp"",""title"":""useful_space"",""value"":""useful_space"",""color"":""#1CE6FF"",""bbox"":{""top"":222,""left"":1517,""height"":8596,""width"":4145},""instanceURI"":""https://api.labelbox.com/masks/feature/ckk8bie2h0a7f0ybu1eyn97cz?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOiJja2g0ajg0eGR3aGY4MDg5NG82N3p1bndxIiwib3JnYW5pemF0aW9uSWQiOiJja2dqNGw1eTFycmpjMDc4MndwbmltNzQzIiwiaWF0IjoxNjExMzIyMjY0LCJleHAiOjE2MTM5MTQyNjR9.UqSzq-DpcrkIyuaiDSK9K_8VGdoLgSdbcwtvFRiDVbY""}],""classifications"":[]}",1004608032@qq.com,background_labeled,1611321993000,1611322062000,14.093,bg_img_10.jpg,-1,-1,,,background_img,[],https://editor.labelbox.com?project=ckk8b70qg0tko0804nkbjono1&label=ckk8bif5500033g68z2r9roft
ckk8bimhv00043g68nj2h0gcu,ckk8b8zb2bhgb0re7cyup52ww,https://storage.labelbox.com/ckgj4l5y1rrjc0782wpnim743%2F31b28ad5-7de2-cb9a-29b3-a19394da3b2d-bg_img_13.jpg?Expires=1612531864670&KeyName=labelbox-assets-key-1&Signature=OeXaL4P7brHeLm5LNCgBzsZMHCA,"{""objects"":[{""featureId"":""ckk8bilr00a9d0ybu05j9hjiz"",""schemaId"":""ckk8bg8ff06bx0ybafthc84mp"",""title"":""useful_space"",""value"":""useful_space"",""color"":""#1CE6FF"",""bbox"":{""top"":53,""left"":54,""height"":4618,""width"":2078},""instanceURI"":""https://api.labelbox.com/masks/feature/ckk8bilr00a9d0ybu05j9hjiz?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOiJja2g0ajg0eGR3aGY4MDg5NG82N3p1bndxIiwib3JnYW5pemF0aW9uSWQiOiJja2dqNGw1eTFycmpjMDc4MndwbmltNzQzIiwiaWF0IjoxNjExMzIyMjY0LCJleHAiOjE2MTM5MTQyNjR9.UqSzq-DpcrkIyuaiDSK9K_8VGdoLgSdbcwtvFRiDVbY""}],""classifications"":[]}",1004608032@qq.com,background_labeled,1611322003000,1611322062245,9.747,bg_img_13.jpg,,-1,,,background_img,[],https://editor.labelbox.com?project=ckk8b70qg0tko0804nkbjono1&label=ckk8bimhv00043g68nj2h0gcu
ckk8biums00053g68g1asdjx6,ckk8b8zb2bhgn0re7hk40eoyf,https://storage.labelbox.com/ckgj4l5y1rrjc0782wpnim743%2F87ae0a89-d97d-41f1-b328-5f85b7103d09-bg_img_16.jpg?Expires=1612531864670&KeyName=labelbox-assets-key-1&Signature=62dgDIhxnt9Zg_Bzlh2pa9oO6h4,"{""objects"":[{""featureId"":""ckk8biu1007nw0yabhl9s5jf0"",""schemaId"":""ckk8bg8ff06bx0ybafthc84mp"",""title"":""useful_space"",""value"":""useful_space"",""color"":""#1CE6FF"",""bbox"":{""top"":151,""left"":136,""height"":3069,""width"":1295},""instanceURI"":""https://api.labelbox.com/masks/feature/ckk8biu1007nw0yabhl9s5jf0?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOiJja2g0ajg0eGR3aGY4MDg5NG82N3p1bndxIiwib3JnYW5pemF0aW9uSWQiOiJja2dqNGw1eTFycmpjMDc4MndwbmltNzQzIiwiaWF0IjoxNjExMzIyMjY0LCJleHAiOjE2MTM5MTQyNjR9.UqSzq-DpcrkIyuaiDSK9K_8VGdoLgSdbcwtvFRiDVbY""}],""classifications"":[]}",1004608032@qq.com,background_labeled,1611322014000,1611322063000,8.959,bg_img_16.jpg,-1,-1,,,background_img,[],https://editor.labelbox.com?project=ckk8b70qg0tko0804nkbjono1&label=ckk8biums00053g68g1asdjx6
ckk8bj1xg00063g683ez5vk9g,ckk8b8zb2bhgz0re71pfy59t6,https://storage.labelbox.com/ckgj4l5y1rrjc0782wpnim743%2F2aa99980-ad07-434b-b940-c2e9b31be7fc-bg_img_19.jpg?Expires=1612531864671&KeyName=labelbox-assets-key-1&Signature=7dXQIsNWpHIBByn2ne0uJYm1aZw,"{""objects"":[{""featureId"":""ckk8biyyn07qe0yab6nln95ia"",""schemaId"":""ckk8bg8ff06bx0ybafthc84mp"",""title"":""useful_space"",""value"":""useful_space"",""color"":""#1CE6FF"",""bbox"":{""top"":213,""left"":215,""height"":3604,""width"":1408},""instanceURI"":""https://api.labelbox.com/masks/feature/ckk8biyyn07qe0yab6nln95ia?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOiJja2g0ajg0eGR3aGY4MDg5NG82N3p1bndxIiwib3JnYW5pemF0aW9uSWQiOiJja2dqNGw1eTFycmpjMDc4MndwbmltNzQzIiwiaWF0IjoxNjExMzIyMjY0LCJleHAiOjE2MTM5MTQyNjR9.UqSzq-DpcrkIyuaiDSK9K_8VGdoLgSdbcwtvFRiDVbY""}],""classifications"":[]}",1004608032@qq.com,background_labeled,1611322023000,1611322063125,9.027000000000001,bg_img_19.jpg,,-1,,,background_img,[],https://editor.labelbox.com?project=ckk8b70qg0tko0804nkbjono1&label=ckk8bj1xg00063g683ez5vk9g
ckk8bjlck00073g68z2jluuc3,ckk8b8zb1bhf30re7dn9t44cq,https://storage.labelbox.com/ckgj4l5y1rrjc0782wpnim743%2Fb2d5d0f8-bf42-3e9c-4df2-87b358f77dcb-bg_img_1.jpg?Expires=1612531864673&KeyName=labelbox-assets-key-1&Signature=Uhtwc9HbfIn9kmf268NQjfpHC5g,"{""objects"":[{""featureId"":""ckk8bj8fw07b50yba360v0vbc"",""schemaId"":""ckk8bg8ff06bx0ybafthc84mp"",""title"":""useful_space"",""value"":""useful_space"",""color"":""#1CE6FF"",""bbox"":{""top"":595,""left"":363,""height"":5442,""width"":2399},""instanceURI"":""https://api.labelbox.com/masks/feature/ckk8bj8fw07b50yba360v0vbc?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOiJja2g0ajg0eGR3aGY4MDg5NG82N3p1bndxIiwib3JnYW5pemF0aW9uSWQiOiJja2dqNGw1eTFycmpjMDc4MndwbmltNzQzIiwiaWF0IjoxNjExMzIyMjY0LCJleHAiOjE2MTM5MTQyNjR9.UqSzq-DpcrkIyuaiDSK9K_8VGdoLgSdbcwtvFRiDVbY""}],""classifications"":[]}",1004608032@qq.com,background_labeled,1611322048000,1611322064046,20.705,bg_img_1.jpg,,-1,,,background_img,[],https://editor.labelbox.com?project=ckk8b70qg0tko0804nkbjono1&label=ckk8bjlck00073g68z2jluuc3
ckk8bju1q00083g68dy6eiqbp,ckk8b8zb1bhff0re7a4hxgamg,https://storage.labelbox.com/ckgj4l5y1rrjc0782wpnim743%2F72a4d26e-a5d2-18d0-49a0-f868498656f8-bg_img_4.jpg?Expires=1612531864673&KeyName=labelbox-assets-key-1&Signature=rV9b84w6ZVs9k2ndzeXl3Dy5RDE,"{""objects"":[{""featureId"":""ckk8bjt4o07ii0yba4ucd6l3e"",""schemaId"":""ckk8bg8ff06bx0ybafthc84mp"",""title"":""useful_space"",""value"":""useful_space"",""color"":""#1CE6FF"",""bbox"":{""top"":74,""left"":55,""height"":2597,""width"":1433},""instanceURI"":""https://api.labelbox.com/masks/feature/ckk8bjt4o07ii0yba4ucd6l3e?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOiJja2g0ajg0eGR3aGY4MDg5NG82N3p1bndxIiwib3JnYW5pemF0aW9uSWQiOiJja2dqNGw1eTFycmpjMDc4MndwbmltNzQzIiwiaWF0IjoxNjExMzIyMjY0LCJleHAiOjE2MTM5MTQyNjR9.UqSzq-DpcrkIyuaiDSK9K_8VGdoLgSdbcwtvFRiDVbY""}],""classifications"":[]}",1004608032@qq.com,background_labeled,1611322060000,1611322065000,12.084,bg_img_4.jpg,-1,-1,,,background_img,[],https://editor.labelbox.com?project=ckk8b70qg0tko0804nkbjono1&label=ckk8bju1q00083g68dy6eiqbp
ckk8bkfcs00093g68lhtj3d2h,ckk8b8zb2bhfr0re79pa14opt,https://storage.labelbox.com/ckgj4l5y1rrjc0782wpnim743%2F74c61e2f-50a5-1310-86d6-7731a916b281-bg_img_8.jpg?Expires=1612531864674&KeyName=labelbox-assets-key-1&Signature=ILmhyuSfBVEP1fl09h5oFbzZMlY,"{""objects"":[{""featureId"":""ckk8bjyn6002v0ya645lnfv8x"",""schemaId"":""ckk8bg8ff06bx0ybafthc84mp"",""title"":""useful_space"",""value"":""useful_space"",""color"":""#1CE6FF"",""bbox"":{""top"":148,""left"":192,""height"":2432,""width"":1647},""instanceURI"":""https://api.labelbox.com/masks/feature/ckk8bjyn6002v0ya645lnfv8x?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOiJja2g0ajg0eGR3aGY4MDg5NG82N3p1bndxIiwib3JnYW5pemF0aW9uSWQiOiJja2dqNGw1eTFycmpjMDc4MndwbmltNzQzIiwiaWF0IjoxNjExMzIyMjY0LCJleHAiOjE2MTM5MTQyNjR9.UqSzq-DpcrkIyuaiDSK9K_8VGdoLgSdbcwtvFRiDVbY""}],""classifications"":[]}",1004608032@qq.com,background_labeled,1611322087000,1611322178000,26.494,bg_img_8.jpg,-1,-1,,,background_img,[],https://editor.labelbox.com?project=ckk8b70qg0tko0804nkbjono1&label=ckk8bkfcs00093g68lhtj3d2h
